id,neutral_venue,team1,team2,toss_winner,toss_decision,result_margin,Day_of_Week,Day_of_month,Month,Year,winner
734031,0,0,1,1,0,15.0,6,23,5,2014,0.0
598011,0,0,2,0,1,41.0,7,13,4,2013,0.0
548354,0,1,1,1,1,43.0,7,5,5,2012,1.0
1136609,0,0,1,0,0,6.0,3,15,5,2018,0.0
392204,1,0,1,0,1,8.0,6,1,5,2009,0.0
419139,0,0,1,0,1,8.0,1,4,4,2010,1.0
598032,0,1,1,1,1,8.0,7,27,4,2013,1.0
1216506,0,1,0,0,0,9.0,1,1,11,2020,0.0
419165,0,0,0,0,1,22.0,1,25,4,2010,0.0
598002,0,0,0,0,1,9.0,7,6,4,2013,0.0
548360,0,0,0,0,0,9.0,4,9,5,2012,0.0
734041,0,0,1,0,0,5.0,1,25,5,2014,0.0
501215,0,3,0,3,0,7.0,2,18,4,2011,3.0
419124,0,1,1,1,0,31.0,4,24,3,2010,1.0
598064,0,1,0,1,0,6.0,2,6,5,2013,1.0
1136562,0,1,1,1,0,6.0,1,8,4,2018,1.0
1216529,0,2,0,2,1,5.0,1,11,10,2020,0.0
336038,0,1,1,1,0,105.0,6,30,5,2008,1.0
734003,0,0,1,1,1,5.0,3,13,5,2014,0.0
1082631,0,0,3,3,0,4.0,4,3,5,2017,3.0
1216542,0,1,1,1,1,69.0,5,8,10,2020,1.0
1082639,0,1,0,0,0,14.0,3,9,5,2017,1.0
598057,0,0,0,0,0,5.0,1,12,5,2013,0.0
1082618,0,0,3,0,0,3.0,2,24,4,2017,3.0
548371,0,1,0,1,0,6.0,5,17,5,2012,1.0
1178405,0,1,2,1,0,39.0,1,14,4,2019,2.0
392183,1,1,1,1,0,10.0,1,19,4,2009,1.0
1082599,0,3,1,3,0,97.0,3,11,4,2017,1.0
598059,0,1,1,1,0,5.0,3,23,4,2013,1.0
1082612,0,1,0,0,0,8.0,5,20,4,2017,0.0
1216503,0,0,1,1,0,48.0,5,1,10,2020,0.0
829735,0,1,0,0,1,8.0,1,19,4,2015,1.0
1136590,0,0,1,1,0,13.0,2,30,4,2018,0.0
598053,0,2,0,0,1,46.0,5,9,5,2013,0.0
829771,0,0,0,0,0,7.0,7,2,5,2015,0.0
1136603,0,1,0,0,1,4.0,6,11,5,2018,1.0
981011,0,1,0,0,0,6.0,1,22,5,2016,0.0
392215,1,1,0,0,1,7.0,6,8,5,2009,1.0
548308,0,0,2,0,0,28.0,6,6,4,2012,2.0
501204,0,1,1,1,1,6.0,3,12,4,2011,1.0
829777,0,1,1,1,0,14.0,1,3,5,2015,1.0
734021,0,1,0,0,1,7.0,3,20,5,2014,1.0
598043,0,0,1,1,1,8.0,6,3,5,2013,0.0
419149,0,1,1,1,1,7.0,1,11,4,2010,1.0
392194,1,0,1,0,1,6.0,1,26,4,2009,1.0
1136577,0,0,1,1,0,64.0,6,20,4,2018,0.0
419122,0,0,0,0,1,7.0,2,22,3,2010,0.0
336026,0,0,1,1,0,5.0,2,19,5,2008,1.0
392195,1,1,1,1,1,27.0,1,26,4,2009,1.0
1216533,0,0,1,0,1,7.0,2,19,10,2020,1.0
598037,0,0,1,0,1,4.0,2,29,4,2013,0.0
598070,0,0,0,0,1,48.0,3,21,5,2013,0.0
548312,0,1,0,0,0,22.0,1,8,4,2012,1.0
419126,0,1,1,1,1,8.0,6,26,3,2010,1.0
392207,1,1,0,0,1,6.0,1,3,5,2009,1.0
419156,0,1,1,1,0,5.0,6,16,4,2010,1.0
419155,0,0,1,0,1,6.0,5,15,4,2010,1.0
336010,0,0,0,0,1,5.0,5,8,5,2008,0.0
1082593,0,2,0,0,0,10.0,6,7,4,2017,0.0
501216,0,1,1,1,1,16.0,3,19,4,2011,1.0
501271,0,0,0,0,1,58.0,7,28,5,2011,0.0
980923,0,1,0,1,0,7.0,2,18,4,2016,1.0
598008,0,0,0,0,0,8.0,5,11,4,2013,0.0
419127,0,1,0,0,1,39.0,7,27,3,2010,0.0
733981,0,1,0,0,0,8.0,2,5,5,2014,0.0
1178426,0,0,1,0,1,17.321652065081352,5,2,5,2019,0.0
419131,0,1,0,1,1,40.0,2,29,3,2010,1.0
1175367,0,0,1,1,0,8.0,1,31,3,2019,0.0
335988,0,1,1,1,1,9.0,3,22,4,2008,1.0
980931,0,3,0,3,0,13.0,6,22,4,2016,0.0
598072,0,0,1,1,1,4.0,6,24,5,2013,0.0
1178418,0,0,1,1,0,3.0,5,25,4,2019,1.0
392198,1,1,1,1,1,5.0,3,28,4,2009,1.0
981001,0,2,0,2,0,6.0,5,19,5,2016,2.0
1082603,0,2,3,2,0,7.0,6,14,4,2017,2.0
598056,0,1,1,1,0,30.0,7,11,5,2013,1.0
419136,0,1,0,1,1,6.0,6,2,4,2010,0.0
829719,0,0,1,1,0,8.0,2,13,4,2015,1.0
501258,0,3,1,3,0,8.0,1,15,5,2011,3.0
501244,0,0,1,1,0,85.0,6,6,5,2011,0.0
729291,1,1,1,1,0,7.0,1,20,4,2014,1.0
597999,0,0,0,0,0,2.0,5,4,4,2013,0.0
419123,0,0,0,0,0,36.0,3,23,3,2010,0.0
598058,0,1,0,1,0,5.0,1,12,5,2013,1.0
548323,0,0,1,0,0,2.0,1,15,4,2012,1.0
734023,0,0,0,0,0,8.0,3,20,5,2014,0.0
1216501,0,0,0,0,1,10.0,4,7,10,2020,0.0
734001,0,1,0,1,1,7.0,2,12,5,2014,0.0
336023,0,1,0,0,0,65.0,7,17,5,2008,1.0
1216514,0,1,0,1,1,8.0,7,3,10,2020,0.0
392233,1,0,1,0,0,4.0,4,20,5,2009,0.0
